[25/04/24, 6:52:55 PM] O2: Shsus
[02/11/24, 11:10:31 AM] O2: Ye mai mummy papa se bolu🙄
[02/11/24, 11:10:52 AM] Aman: Nhi samjhenge kya?
[02/11/24, 11:10:57 AM] O2: Nhii
[02/11/24, 11:11:33 AM] Aman: How can someone be that unempathetic
[02/11/24, 11:13:19 AM] O2: Are tum smjh kyu nhi rhe
[02/11/24, 11:13:48 AM] O2: Mai unse kahungi ki din me locals bhari hui jati h isliye shaam ko jayenge hum
[02/11/24, 11:14:01 AM] O2: Shaam ko to aur bharni chahiye na ‎<This message was edited>
[02/11/24, 11:14:26 AM] O2: Workforce return hota h
[02/11/24, 11:14:29 AM] Aman: Shaam ko ticket book kar lenge na train ki
[02/11/24, 11:14:53 AM] O2: ?
[02/11/24, 11:15:11 AM] Aman: Hmm mumbai to pune
[02/11/24, 11:15:35 AM] O2: Ha to vo din me kyu nhi kar skte
[02/11/24, 11:15:43 AM] Aman: Ticket nhi thi
[02/11/24, 11:15:54 AM] O2: Waah
[02/11/24, 11:16:15 AM] O2: Shaam ko mil gyi din me nhi mili
[02/11/24, 11:16:24 AM] Aman: Hmm...😑
[02/11/24, 11:16:34 AM] Aman: Confirm ticket mam
[02/11/24, 11:16:34 AM] O2: Doubt krenge hum pr
[02/11/24, 11:16:53 AM] O2: Nhi ye nhi krenge
[02/11/24, 11:17:28 AM] Aman: Axa ok
[02/11/24, 11:17:34 AM] Aman: Then let me think something
[02/11/24, 11:17:53 AM] O2: Hm
[02/11/24, 11:24:27 AM] Aman: Mere me irctc ki site open nhi ho rhi
[02/11/24, 11:25:32 AM] O2: Mere me bhi
[02/11/24, 11:25:44 AM] O2: Crash ho gyi h shyd
[02/11/24, 11:26:01 AM] O2: Prso se hi nhi chal rhi ‎<This message was edited>
[02/11/24, 11:26:08 AM] Aman: Aca
[02/11/24, 11:26:10 AM] Aman: AXA
[02/11/24, 11:29:12 AM] Aman: Axa suno
[02/11/24, 11:29:36 AM] O2: Hm
[02/11/24, 11:29:57 AM] Aman: Mai keh rha tha
[02/11/24, 11:30:07 AM] O2: Kahiye
[02/11/24, 11:30:15 AM] Aman: Mai baad me sare best result dekh lunga
[02/11/24, 11:30:18 AM] Aman: Shaam tak
[02/11/24, 11:30:23 AM] O2: Thik h
[02/11/24, 11:30:25 AM] Aman: Of both bus and train
[02/11/24, 11:30:33 AM] Aman: Then we'll discuss later
[02/11/24, 11:30:40 AM] O2: Okay
[02/11/24, 11:30:43 AM] Aman: ‎You deleted this message.
[02/11/24, 11:30:59 AM] O2: ?
[02/11/24, 11:31:13 AM] Aman: Nothing
[02/11/24, 11:31:24 AM] O2: Hm
[02/11/24, 11:31:34 AM] Aman: Aur batao phir
[02/11/24, 11:31:45 AM] O2: Kya btau
[02/11/24, 11:32:09 AM] Aman: Bf ho gya?
[02/11/24, 11:33:17 AM] O2: Ha
[02/11/24, 11:33:39 AM] Aman: Axa yeh batao
[02/11/24, 11:33:46 AM] Aman: Tum nahati kyu nhi ho time se?
[02/11/24, 11:34:03 AM] O2: 🫤
[02/11/24, 11:34:20 AM] O2: Ye personal question kyu puchhte ho🙄
[02/11/24, 11:34:33 AM] Aman: Samaj AA jata
[02/11/24, 11:34:55 AM] O2: To tum konsa naha hi liye ho ‎<This message was edited>
[02/11/24, 11:35:17 AM] Aman: 😑
[02/11/24, 11:35:42 AM] O2: Bolte to aise ho jaise roz 4 bje naha hi lete ho
[02/11/24, 11:35:52 AM] Aman: 😂😂
[02/11/24, 11:36:01 AM] Aman: AXA theek h mam
[02/11/24, 11:36:09 AM] O2: Hm
[02/11/24, 11:36:37 AM] O2: Diwali milne nhi aa rhe?
[02/11/24, 11:36:46 AM] Aman: Kise?
[02/11/24, 11:36:53 AM] O2: Mujhse
[02/11/24, 11:37:04 AM] Aman: Mile toh the
[02/11/24, 11:37:08 AM] Aman: 31st ko
[02/11/24, 11:37:26 AM] O2: Are pr vo to mai tumhare ghar ayi thi
[02/11/24, 11:37:36 AM] O2: Ab tumhe aana chahiye
[02/11/24, 11:37:56 AM] Aman: Are nhi itne sare login ke beech ajeeb lagega
[02/11/24, 11:38:01 AM] Aman: Logon
[02/11/24, 11:38:13 AM] O2: Itne saare kon
[02/11/24, 11:38:20 AM] O2: Sirf family hi h
[02/11/24, 11:38:24 AM] Aman: Tum aur tumhare disen bhar log
[02/11/24, 11:38:32 AM] Aman: Dozen
[02/11/24, 11:38:44 AM] O2: Hum 5, dada dadi
[02/11/24, 11:38:50 AM] Aman: Axa ok
[02/11/24, 11:39:04 AM] O2: Hm
[02/11/24, 11:39:13 AM] Aman: Aur kya bolunga?
[02/11/24, 11:39:30 AM] O2: Kajal se milne aya hu
[02/11/24, 11:39:40 AM] Aman: Theek h done
[02/11/24, 11:39:42 AM] O2: Gift bhi laya hu🤗
[02/11/24, 11:39:59 AM] Aman: Hamara yahan yeh sab nhi chahta
[02/11/24, 11:40:12 AM] Aman: Gift sirf ladki vale dete h
[02/11/24, 11:40:36 AM] O2: Pr abhi to hum dost h na
[02/11/24, 11:40:43 AM] O2: To tum de skte ho
[02/11/24, 11:40:46 AM] Aman: Hehhee
[02/11/24, 11:40:52 AM] Aman: Aisa kuch nhi h
[02/11/24, 11:41:02 AM] O2: Aisa hi h
[02/11/24, 11:41:19 AM] Aman: Friends don't know the way u taste la la la la
[02/11/24, 11:42:27 AM] O2: 😂
[02/11/24, 11:42:51 AM] O2: Gharwalo ki nazro me sir
[02/11/24, 11:43:14 AM] Aman: Axa
[02/11/24, 11:43:20 AM] Aman: Theek h
[02/11/24, 11:43:21 AM] O2: Hm
[02/11/24, 11:43:33 AM] O2: Mujhe neend aa rhi🥱
[02/11/24, 11:43:36 AM] O2: 🥱🥱
[02/11/24, 11:43:52 AM] O2: Kuchh to gadbad h is ghar me
[02/11/24, 11:43:54 AM] Aman: Tumhe Sharm aani chaiye
[02/11/24, 11:44:06 AM] O2: Hmesha neend aati h munhe🤔
[02/11/24, 11:44:10 AM] O2: 😑😑
[02/11/24, 11:44:20 AM] O2: Sone me kaisi shrm
[02/11/24, 11:44:25 AM] Aman: Tum 😙
[02/11/24, 11:44:42 AM] O2: 🤨
[02/11/24, 11:44:49 AM] Aman: Hehe😂😂
[02/11/24, 11:44:53 AM] Aman: Haha😂😂
[02/11/24, 11:44:56 AM] O2: Bye
[02/11/24, 11:44:58 AM] O2: 😑
[02/11/24, 11:45:03 AM] Aman: Arre
[02/11/24, 11:45:04 AM] O2: Camera off
[02/11/24, 11:45:07 AM] Aman: Majak tha
[02/11/24, 11:45:12 AM] Aman: Camera toh on karlo
[02/11/24, 11:45:25 AM] Aman: Hello
[02/11/24, 11:45:27 AM] Aman: Baby
[02/11/24, 11:45:28 AM] Aman: Sona
[02/11/24, 11:45:30 AM] Aman: Sh
[02/11/24, 11:45:32 AM] Aman: Babu
[02/11/24, 11:45:35 AM] Aman: Darling
[02/11/24, 11:45:40 AM] Aman: Puchi poo
[02/11/24, 11:45:44 AM] Aman: Guchi poo
[02/11/24, 11:45:50 AM] Aman: Sona sooo
[02/11/24, 11:46:00 AM] Aman: Kaju ku
[02/11/24, 11:46:13 AM] O2: Ayee
[02/11/24, 11:46:18 AM] O2: Ye kaju ku kya h
[02/11/24, 11:46:28 AM] O2: Naam mat bigado mera😑
[02/11/24, 11:46:36 AM] Aman: Axa theek h
[02/11/24, 11:46:53 AM] Aman: Aur batao
[02/11/24, 11:46:59 AM] Aman: Kuch 😙
[02/11/24, 11:47:11 AM] O2: Tum btao
[02/11/24, 11:47:22 AM] Aman: Game khele?
[02/11/24, 11:47:29 AM] O2: Thik h
[02/11/24, 11:47:43 AM] Aman: Chess?
[02/11/24, 11:47:51 AM] O2: 😑
[02/11/24, 11:47:58 AM] Aman: Kya?
[02/11/24, 11:48:01 AM] O2: Raat me khelenge na vo
[02/11/24, 11:48:12 AM] Aman: 😑
[02/11/24, 11:48:14 AM] O2: Shaam ko i mean
[02/11/24, 11:48:24 AM] Aman: Then tum koi batao
[02/11/24, 11:48:31 AM] O2: 😑
[02/11/24, 11:49:23 AM] Aman: Axa guess the emoji that I used the most?
[02/11/24, 11:49:37 AM] O2: Ummm
[02/11/24, 11:49:56 AM] O2: 😂
[02/11/24, 11:50:02 AM] Aman: Ok
[02/11/24, 11:50:07 AM] Aman: Tumhara batau?
[02/11/24, 11:50:11 AM] O2: Hm
[02/11/24, 11:50:13 AM] Aman: 😑
[02/11/24, 11:50:21 AM] O2: 😂
[02/11/24, 11:50:23 AM] O2: Hm
[02/11/24, 11:50:40 AM] O2: Iska mtlb smjh rhe ho
[02/11/24, 11:50:47 AM] Aman: Hmm😂😂
[02/11/24, 11:50:56 AM] O2: 🙄
[02/11/24, 11:50:56 AM] Aman: Combo of both tells a lot😂
[02/11/24, 11:51:41 AM] Aman: Kidhar gyi?
[02/11/24, 11:52:32 AM] O2: Yhi hi
[02/11/24, 11:52:39 AM] O2: Aur koi game btao
[02/11/24, 11:52:52 AM] Aman: Ok
[02/11/24, 11:53:49 AM] Aman: Tell me one of your dark fantasy
[02/11/24, 11:55:55 AM] O2: Dark fantasy like what
[02/11/24, 11:56:04 AM] Aman: Hanki panki
[02/11/24, 11:56:05 AM] O2: Apni btao tum phle
[02/11/24, 11:56:18 AM] Aman: Umm
[02/11/24, 11:56:28 AM] O2: Ye dark fantasy h?
[02/11/24, 11:56:47 AM] Aman: In terms of that
[02/11/24, 11:56:57 AM] O2: Okay
[02/11/24, 11:57:04 AM] O2: .
[02/11/24, 11:57:38 AM] Aman: Wild sex
[02/11/24, 11:57:59 AM] O2: 😶
[02/11/24, 11:58:08 AM] Aman: U tell?
[02/11/24, 11:58:53 AM] O2: Meri as such koi nhi h
[02/11/24, 11:59:02 AM] O2: Mai sab me okay hu😂
[02/11/24, 11:59:07 AM] Aman: AXA theek h
[02/11/24, 11:59:11 AM] Aman: 😑
[02/11/24, 11:59:21 AM] O2: 😂
[02/11/24, 12:00:01 PM] Aman: Aur batao tum kuch
[02/11/24, 12:01:41 PM] O2: Kya btau
[02/11/24, 12:02:01 PM] Aman: Kuch nhi hota tumhare pass?😑
[02/11/24, 12:02:10 PM] O2: Bta to diya
[02/11/24, 12:02:16 PM] O2: Aur kya btau
[02/11/24, 12:02:17 PM] Aman: Kya?
[02/11/24, 12:02:21 PM] O2: Tum hi bta do
[02/11/24, 12:02:36 PM] O2: Ki abhi tak kya kya kiya
[02/11/24, 12:02:44 PM] Aman: 😂😂
[02/11/24, 12:02:55 PM] Aman: Ok theek h
[02/11/24, 12:03:00 PM] Aman: Lunch ho gya?
[02/11/24, 12:03:33 PM] O2: Nhi
[02/11/24, 12:03:42 PM] Aman: Ok
[02/11/24, 12:03:47 PM] Aman: Kab tak jaogi phir?
[02/11/24, 12:04:03 PM] O2: Jab koi bulayega
[02/11/24, 12:04:06 PM] O2: 😗
[02/11/24, 12:04:07 PM] Aman: Ok
[02/11/24, 12:04:12 PM] Aman: Movie dekhne chalogi kya?
[02/11/24, 12:04:20 PM] O2: Konsi
[02/11/24, 12:04:27 PM] O2: Vaise the ans is no
[02/11/24, 12:04:34 PM] O2: Still askin😚
[02/11/24, 12:04:37 PM] Aman: Then kyu puch rhi
[02/11/24, 12:04:42 PM] Aman: 😑
[02/11/24, 12:04:55 PM] O2: Btao🤨
[02/11/24, 12:05:07 PM] Aman: Nhi bataunga ab
[02/11/24, 12:05:18 PM] O2: Bta rhe ya nhi
[02/11/24, 12:05:20 PM] Aman: Smile 2
[02/11/24, 12:05:23 PM] Aman: Ya bb3
[02/11/24, 12:05:26 PM] Aman: Bata rha
[02/11/24, 12:05:31 PM] Aman: Ruka toh karo
[02/11/24, 12:05:34 PM] O2: Lgi h ky
[02/11/24, 12:05:40 PM] Aman: Darane lagti ho
[02/11/24, 12:05:51 PM] Aman: Smile 2 kanpur me nhi h sayad dekhta hu
[02/11/24, 12:06:26 PM] O2: Koi na hum lucknow ja kar dekkenge na
[02/11/24, 12:06:29 PM] O2: 🤗
[02/11/24, 12:07:08 PM] Aman: Hmm maine bhi yhi socha tha
[02/11/24, 12:07:16 PM] O2: Achha
[02/11/24, 12:07:17 PM] Aman: But vahan par bhi nhi h sayad
[02/11/24, 12:07:28 PM] O2: To cast krva lenge
[02/11/24, 12:07:36 PM] Aman: Cast?
[02/11/24, 12:07:41 PM] O2: Sharma g ki baat thodo na mna krega koi
[02/11/24, 12:07:55 PM] O2: Lgva lenge theatres me
[02/11/24, 12:08:01 PM] Aman: 😑
[02/11/24, 12:08:06 PM] Aman: Tum na
[02/11/24, 12:08:09 PM] O2: 😂
[02/11/24, 12:08:11 PM] Aman: Hum log download karenge
[02/11/24, 12:08:18 PM] Aman: Aur journey me dekhenge ab
[02/11/24, 12:08:35 PM] O2: Ha to ye bolo na
[02/11/24, 12:08:43 PM] Aman: No choice
[02/11/24, 12:08:52 PM] Aman: Bcoz Pune se bhi hat gyi h
[02/11/24, 12:08:56 PM] Aman: Mumbai me h bus
[02/11/24, 12:09:07 PM] O2: Oo
[02/11/24, 12:09:33 PM] Aman: Koi na
[02/11/24, 12:09:52 PM] O2: Hm
[02/11/24, 12:10:00 PM] O2: Aur btao ‎<This message was edited>
[02/11/24, 12:10:06 PM] Aman: Hmm
[02/11/24, 12:10:24 PM] O2: Achha ek question puchhti hu
[02/11/24, 12:10:29 PM] Aman: Hmm
[02/11/24, 12:10:46 PM] O2: What’s one thing which makes you insecure in our relationship rn
[02/11/24, 12:11:06 PM] Aman: Nothing
[02/11/24, 12:11:19 PM] O2: Ye ans nhi ho skta
[02/11/24, 12:11:21 PM] O2: Invalid
[02/11/24, 12:11:24 PM] Aman: Hai
[02/11/24, 12:11:45 PM] O2: Thik h achha
[02/11/24, 12:11:51 PM] Aman: Hmm u tell
[02/11/24, 12:12:02 PM] O2: .
[02/11/24, 12:12:11 PM] Aman: Not possible
[02/11/24, 12:12:23 PM] Aman: U r only saying coz I said it that
[02/11/24, 12:12:29 PM] Aman: But u have got something
[02/11/24, 12:12:32 PM] Aman: Right?
[02/11/24, 12:13:35 PM] O2: Mai terms nd conditions me yhi bolne vli thi ki question repeat nhi hoga aur nothing is an invalid ans pr tumne phle hi ans de diya
[02/11/24, 12:14:08 PM] Aman: Then repeat vala factor nhi bol payegi na
[02/11/24, 12:14:14 PM] Aman: Then say ur honest ans
[02/11/24, 12:15:48 PM] O2: Kyunki mera ans hi yhi h
[02/11/24, 12:16:51 PM] Aman: Axa
[02/11/24, 12:16:56 PM] O2: Hm
[02/11/24, 12:18:16 PM] Aman: Aur batao phir
[02/11/24, 12:20:18 PM] O2: Chale fir?
[02/11/24, 12:20:27 PM] Aman: AXA theek h
[02/11/24, 12:20:36 PM] O2: Hm
[02/11/24, 12:20:54 PM] O2: 👋 ✋
[02/11/24, 12:21:25 PM] Aman: Ok
[02/11/24, 12:21:28 PM] Aman: Bye
[02/11/24, 12:22:21 PM] Aman: 👋🏻✋🏻👋🏻✋🏻
[02/11/24, 12:22:43 PM] O2: 6
[02/11/24, 12:22:45 PM] O2: 5
[02/11/24, 12:22:48 PM] O2: 4
[02/11/24, 12:22:52 PM] O2: 3
[02/11/24, 12:22:56 PM] O2: 2
[02/11/24, 12:23:01 PM] O2: 1
[02/11/24, 12:23:07 PM] O2: 😠
[02/11/24, 12:23:12 PM] O2: 😤
[02/11/24, 12:23:14 PM] O2: Bye
[02/11/24, 12:23:20 PM] Aman: 1 min bus
[02/11/24, 12:23:44 PM] Aman: Hmm suno !
[02/11/24, 12:23:47 PM] Aman: 😂😂
[02/11/24, 7:53:41 PM] O2: 👋
[02/11/24, 7:57:44 PM] Aman: Thodi der me Karu?
[02/11/24, 8:00:54 PM] O2: Thik h
[02/11/24, 8:18:07 PM] Aman: Hello listen !
[02/11/24, 8:21:21 PM] O2: Hmm
[02/11/24, 8:21:37 PM] Aman: Hi !
[02/11/24, 8:21:44 PM] O2: Hye
[02/11/24, 8:21:55 PM] Aman: Heyyy !
[02/11/24, 8:22:09 PM] O2: Ha
[02/11/24, 8:22:27 PM] Aman: Kya ho rha h ?
[02/11/24, 8:22:36 PM] O2: Kaam kar rhi
[02/11/24, 8:22:41 PM] Aman: Kya?
[02/11/24, 8:22:48 PM] O2: Dckt
[02/11/24, 8:23:02 PM] Aman: Ok
[02/11/24, 8:23:13 PM] Aman: Chalo theek h raat me baat karte h !
[02/11/24, 8:23:26 PM] O2: Thik h
[02/11/24, 8:23:57 PM] Aman: Bye
[02/11/24, 8:24:01 PM] Aman: 👋🏻💕👋🏻
[02/11/24, 8:24:13 PM] O2: Bye
[02/11/24, 10:43:44 PM] O2: Good night
[02/11/24, 10:44:03 PM] Aman: Kya hua?
[02/11/24, 10:44:47 PM] O2: Tum free ho kya?
[02/11/24, 10:44:56 PM] Aman: Hmm ofc
[02/11/24, 10:45:00 PM] Aman: Kyu?
[02/11/24, 10:45:22 PM] O2: Mujhe lga busy hoge isliye good night bola
[02/11/24, 10:45:29 PM] Aman: Nhi toh
[02/11/24, 10:45:37 PM] Aman: Kya hua?
[02/11/24, 10:45:39 PM] O2: Achha
[02/11/24, 10:45:48 PM] O2: Kuchh ni
[02/11/24, 10:45:56 PM] Aman: You sure?
[02/11/24, 10:46:11 PM] O2: Hm
[02/11/24, 10:46:22 PM] Aman: Then itna weird act kyu kar rhi ho?
[02/11/24, 10:46:42 PM] O2: Mai… weird?
[02/11/24, 10:46:46 PM] O2: Nhi to
[02/11/24, 10:46:50 PM] Aman: .
[02/11/24, 10:47:04 PM] Aman: Justify it?
[02/11/24, 10:47:31 PM] O2: Vo to mujhe sach me lga time nhi hoga tumhare paas
[02/11/24, 10:48:18 PM] Aman: Aur aisa kyu ?
[02/11/24, 10:49:51 PM] O2: Achhe se bye bhi nhi bola tha dopahar me may be cuz of shortage of time aur fir shaam ko bhi aise hi kiya
[02/11/24, 10:50:48 PM] Aman: I told u to wait
[02/11/24, 10:50:55 PM] Aman: Afternoon me
[02/11/24, 10:51:08 PM] O2: Bye bolne k baad☺️
[02/11/24, 10:51:36 PM] Aman: Hmm
[02/11/24, 10:51:49 PM] Aman: Bye ke baad hi I say those words
[02/11/24, 10:52:25 PM] O2: Tumhare bye k bohot der baad tak ruki thi mai
[02/11/24, 10:52:39 PM] O2: Infact countdown bhi diya tha
[02/11/24, 10:52:47 PM] Aman: C'mon yr
[02/11/24, 10:52:53 PM] Aman: That wasn't even a min
[02/11/24, 10:52:55 PM] Aman: Koi aa gya tha
[02/11/24, 10:53:04 PM] Aman: That's why I told u to wait for a min
[02/11/24, 10:53:10 PM] Aman: Par tumse vo bhi nhi hua
[02/11/24, 10:53:48 PM] O2: Tumhara 1 min ka mssg kab seen kiya tha maine?
[02/11/24, 10:54:27 PM] Aman: Tum offline ho gyi after that
[02/11/24, 10:54:50 PM] Aman: After 5 min
[02/11/24, 10:55:10 PM] O2: Kyunki ja chuki thi mai
[02/11/24, 10:55:29 PM] Aman: Even the timestamp was same
[02/11/24, 10:55:37 PM] Aman: Tumhare last message ka
[02/11/24, 10:55:41 PM] Aman: Aur mere reply ka
[02/11/24, 10:56:23 PM] O2: Mere messages seen ho rhe the bs tum reply nhi kar rhe the
[02/11/24, 10:56:33 PM] Aman: Kyuki phone pocket me tha
[02/11/24, 10:56:40 PM] O2: On
[02/11/24, 10:56:45 PM] O2: ?
[02/11/24, 10:56:48 PM] Aman: Hmm
[02/11/24, 10:56:58 PM] O2: 🙂
[02/11/24, 10:57:17 PM] Aman: Isme
[02/11/24, 10:57:23 PM] Aman: Aur isme
[02/11/24, 10:57:30 PM] Aman: Just 1 min ka difference h
[02/11/24, 10:57:51 PM] O2: Chats delete kar di h maine
‎[02/11/24, 10:58:08 PM] Aman: ‎image omitted
[02/11/24, 10:59:00 PM] O2: 20 k baad sidha 23 me reply kiya tumne
[02/11/24, 10:59:19 PM] Aman: Kya?
[02/11/24, 10:59:58 PM] O2: Kuchh nhi
[02/11/24, 11:00:03 PM] O2: Chhodo
[02/11/24, 11:00:12 PM] Aman: Bolo?
[02/11/24, 11:00:21 PM] O2: Nhi kuchh ni
[02/11/24, 11:00:28 PM] Aman: Bolo kajal!
[02/11/24, 11:00:55 PM] O2: Time kam h kaam ki baat kar lete h phle
[02/11/24, 11:01:03 PM] O2: Fir ldenge
[02/11/24, 11:01:22 PM] O2: Ha to tickets dekhi?
[02/11/24, 11:01:34 PM] Aman: Bus ki dekhi thi
[02/11/24, 11:01:40 PM] Aman: Train ka open nhi hua tha
[02/11/24, 11:01:53 PM] O2: Hm
[02/11/24, 11:02:04 PM] Aman: Tumne?
[02/11/24, 11:02:18 PM] O2: Dekhi thi maine bhi
[02/11/24, 11:02:52 PM] O2: Yha se pune vli trains me WL  about 20 h min
[02/11/24, 11:03:06 PM] O2: Aur Mumbai vli me 5-6
[02/11/24, 11:03:14 PM] O2: AC 2 me
[02/11/24, 11:03:16 PM] Aman: Kah ki?
[02/11/24, 11:03:25 PM] Aman: Kab *
[02/11/24, 11:03:35 PM] O2: 6,7
[02/11/24, 11:03:46 PM] Aman: Ok
[02/11/24, 11:04:02 PM] O2: Price 2300
[02/11/24, 11:04:16 PM] Aman: Doesn't matter
[02/11/24, 11:04:27 PM] Aman: Ok
[02/11/24, 11:04:53 PM] O2: Bus me bhi 2800 tak pdega na
[02/11/24, 11:05:01 PM] Aman: Hmm
[02/11/24, 11:05:25 PM] Aman: Isme bhi 2800 man lo... Bcoz Mumbai to Pune Bhi hogaa
[02/11/24, 11:05:35 PM] O2: Hm
[02/11/24, 11:05:59 PM] O2: To kya krna h
[02/11/24, 11:06:17 PM] Aman: Jo tumhe shi Lage kardo
[02/11/24, 11:06:32 PM] O2: Tum btao
[02/11/24, 11:07:10 PM] Aman: Timings vakhera check karni padegi train ki
[02/11/24, 11:07:30 PM] O2: Aur WL clear nhi hui to
[02/11/24, 11:07:36 PM] Aman: Toh bus
[02/11/24, 11:08:02 PM] O2: Amount kitna deduct hoga
[02/11/24, 11:08:15 PM] Aman: ‎You deleted this message.
[02/11/24, 11:08:27 PM] Aman: Not clear hone par?
[02/11/24, 11:08:37 PM] O2: Hm
[02/11/24, 11:08:43 PM] Aman: 20-30 just booking charges
[02/11/24, 11:08:57 PM] O2: Achha
[02/11/24, 11:09:05 PM] Aman: Hmm
[02/11/24, 11:09:16 PM] O2: .
[02/11/24, 11:09:45 PM] Aman: Iski timing kya h?
[02/11/24, 11:10:24 PM] O2: Ek nhi h
[02/11/24, 11:10:36 PM] O2: 3-4 trains h
[02/11/24, 11:10:51 PM] O2: Irctc mere me bhi open nhi hua
[02/11/24, 11:10:58 PM] Aman: Tumhare Ghar vale rukne denge
[02/11/24, 11:11:04 PM] Aman: ?
[02/11/24, 11:11:07 PM] O2: Nhi
[02/11/24, 11:11:35 PM] Aman: Like 5-6 hrs bhi nhi?
[02/11/24, 11:12:12 PM] O2: Reason kya dungi unhe
[02/11/24, 11:12:33 PM] O2: Valid reason hoga to mna thodi krenge
[02/11/24, 11:12:54 PM] Aman: Ofc tum edge to edge booking nhi kar sakte
[02/11/24, 11:12:59 PM] Aman: Kyuki trains late hoti h
[02/11/24, 11:13:09 PM] Aman: Toh keh dena next one is 5 hrs apart
[02/11/24, 11:13:35 PM] O2: To itna to train actual me late hoti h
[02/11/24, 11:13:48 PM] O2: Fir to gap rhega hi nhi
[02/11/24, 11:13:56 PM] Aman: Hmm agar Hui toh keh dena
[02/11/24, 11:14:06 PM] Aman: Previous Vali choot gyi h
[02/11/24, 11:14:15 PM] Aman: Aur jo next bus h is 4 hrs apart
[02/11/24, 11:14:23 PM] O2: Bus?
[02/11/24, 11:14:34 PM] Aman: Hmm bus se hi soch rha
[02/11/24, 11:14:46 PM] O2: Mumbai to pune bus?
[02/11/24, 11:14:53 PM] Aman: Hmm
[02/11/24, 11:15:17 PM] O2: Fir vo khenge train se hi chle jao
[02/11/24, 11:15:26 PM] Aman: Luggage g
[02/11/24, 11:15:27 PM] Aman: H
[02/11/24, 11:15:30 PM] Aman: Dikkat hogi
[02/11/24, 11:15:36 PM] Aman: Train Khali nhi jati h
[02/11/24, 11:16:20 PM] O2: Are nhi maanenge
[02/11/24, 11:16:38 PM] O2: Bus se hi chal dete h fir
[02/11/24, 11:16:42 PM] Aman: Kyu?
[02/11/24, 11:17:11 PM] O2: Itna explaination dungi to shaq ho jayega
[02/11/24, 11:17:51 PM] Aman: Dekh lo
[02/11/24, 11:17:54 PM] Aman: Tum
[02/11/24, 11:20:11 PM] O2: Thik h
[02/11/24, 11:20:18 PM] Aman: Hmm
[02/11/24, 11:21:00 PM] O2: Aur btao
[02/11/24, 11:21:40 PM] Aman: Tanisha mam se tumne baat Kari thi ?
[02/11/24, 11:24:05 PM] O2: Ha
[02/11/24, 11:24:12 PM] O2: Abhi kiya just
[02/11/24, 11:24:30 PM] Aman: Axa
[02/11/24, 11:24:33 PM] Aman: What she said?
[02/11/24, 11:24:47 PM] O2: Dekha nhi h
[02/11/24, 11:25:04 PM] Aman: Um mai hi soch rha tha baat karne ko
[02/11/24, 11:25:21 PM] O2: To kar lo
[02/11/24, 11:25:46 PM] Aman: Tumne message drop kar diya n par?
[02/11/24, 11:26:03 PM] O2: Hm
[02/11/24, 11:26:16 PM] Aman: Chalo axa delete for everyone kardo
[02/11/24, 11:26:21 PM] Aman: I'll handle
[02/11/24, 11:26:37 PM] O2: Kyu
[02/11/24, 11:27:08 PM] Aman: Mujhe lag rha mujhko hi bolna chahiye better rehga
[02/11/24, 11:27:20 PM] O2: Thik h achha
[02/11/24, 11:27:23 PM] Aman: Hmm
[02/11/24, 11:28:08 PM] O2: NDA ball ka invitation aya h
[02/11/24, 11:28:13 PM] Aman: Ok
[02/11/24, 11:28:20 PM] Aman: Nice
[02/11/24, 11:28:27 PM] O2: Hm
[02/11/24, 11:28:36 PM] Aman: Kab h ?
[02/11/24, 11:28:44 PM] O2: 16 nov
[02/11/24, 11:28:53 PM] Aman: Toh ja rhi?
[02/11/24, 11:29:11 PM] O2: Dekhungi
[02/11/24, 11:29:19 PM] Aman: Ok
[02/11/24, 11:30:59 PM] Aman: Shaam ko kab ?
[02/11/24, 11:31:25 PM] O2: Tumne kaha tha thodi der me kru?
[02/11/24, 11:31:43 PM] Aman: So that was rude ?
[02/11/24, 11:31:45 PM] O2: Fir thodi der aya tumhara usme bye bolkar chle gye
[02/11/24, 11:31:59 PM] O2: Phle hi bol dete isse achha
[02/11/24, 11:32:24 PM] Aman: Tum kya bol rhi ho
[02/11/24, 11:32:32 PM] Aman: ?
‎[02/11/24, 11:32:45 PM] Aman: ‎image omitted
[02/11/24, 11:33:10 PM] Aman: Tumne kaha tha u r doing kaam isliye I said it
‎[02/11/24, 11:33:18 PM] O2: ‎image omitted
[02/11/24, 11:33:37 PM] Aman: Iske baad what?
[02/11/24, 11:33:57 PM] O2: Vo by mistake likh diya
[02/11/24, 11:34:34 PM] O2: Ye first time to tha nhi jab mai kaam kar rhi thi aur tumme message kar diya
[02/11/24, 11:34:57 PM] O2: Aisa bohot baar hua h nd we have continued ‎<This message was edited>
[02/11/24, 11:35:22 PM] Aman: Toh kya bolta drop ur work aur mujhse abhi baat karo ?
[02/11/24, 11:35:32 PM] Aman: Jab ki mere paas baad me bhi time h
[02/11/24, 11:36:17 PM] O2: Mai kaam tab bhi kar rhi thi jab msine message kiya tha tumhe
[02/11/24, 11:36:30 PM] Aman: Exactly
[02/11/24, 11:36:43 PM] Aman: Agar tumhe baat continue karni hoti
[02/11/24, 11:37:09 PM] Aman: Tum aise reply nhi karti ... To my words kya kar rhi ho
[02/11/24, 11:37:14 PM] O2: I am talking about the first message
[02/11/24, 11:37:39 PM] O2: Are to kya btati
[02/11/24, 11:37:41 PM] Aman: Tumne bola tha "kaam "
