[25/04/24, 18:52:55] O2: Shsus
[02/11/24, 11:35:42] O2: Bolte to aise ho jaise roz 4 bje naha hi lete ho
[02/11/24, 11:35:52] Aman: 😂😂
[02/11/24, 11:36:01] Aman: AXA theek h mam
[02/11/24, 11:36:09] O2: Hm
[02/11/24, 11:36:37] O2: Diwali milne nhi aa rhe?
[02/11/24, 11:36:46] Aman: Kise?
[02/11/24, 11:36:53] O2: Mujhse
[02/11/24, 11:37:04] Aman: Mile toh the
[02/11/24, 11:37:08] Aman: 31st ko
[02/11/24, 11:37:26] O2: Are pr vo to mai tumhare ghar ayi thi
[02/11/24, 11:37:36] O2: Ab tumhe aana chahiye
[02/11/24, 11:37:56] Aman: Are nhi itne sare login ke beech ajeeb lagega
[02/11/24, 11:38:01] Aman: Logon
[02/11/24, 11:38:13] O2: Itne saare kon
[02/11/24, 11:38:20] O2: Sirf family hi h
[02/11/24, 11:38:24] Aman: Tum aur tumhare disen bhar log
[02/11/24, 11:38:32] Aman: Dozen
[02/11/24, 11:38:44] O2: Hum 5, dada dadi
[02/11/24, 11:38:50] Aman: Axa ok
[02/11/24, 11:39:04] O2: Hm
[02/11/24, 11:39:13] Aman: Aur kya bolunga?
[02/11/24, 11:39:30] O2: Kajal se milne aya hu
[02/11/24, 11:39:40] Aman: Theek h done
[02/11/24, 11:39:42] O2: Gift bhi laya hu🤗
[02/11/24, 11:39:59] Aman: Hamara yahan yeh sab nhi chahta
[02/11/24, 11:40:12] Aman: Gift sirf ladki vale dete h
[02/11/24, 11:40:36] O2: Pr abhi to hum dost h na
[02/11/24, 11:40:43] O2: To tum de skte ho
[02/11/24, 11:40:46] Aman: Hehhee
[02/11/24, 11:40:52] Aman: Aisa kuch nhi h
[02/11/24, 11:41:02] O2: Aisa hi h
[02/11/24, 11:41:19] Aman: Friends don't know the way u taste la la la la
[02/11/24, 11:42:27] O2: 😂
[02/11/24, 11:42:51] O2: Gharwalo ki nazro me sir
[02/11/24, 11:43:14] Aman: Axa
[02/11/24, 11:43:20] Aman: Theek h
[02/11/24, 11:43:21] O2: Hm
[02/11/24, 11:43:33] O2: Mujhe neend aa rhi🥱
[02/11/24, 11:43:36] O2: 🥱🥱
[02/11/24, 11:43:52] O2: Kuchh to gadbad h is ghar me
[02/11/24, 11:43:54] Aman: Tumhe Sharm aani chaiye
[02/11/24, 11:44:06] O2: Hmesha neend aati h munhe🤔
[02/11/24, 11:44:10] O2: 😑😑
[02/11/24, 11:44:20] O2: Sone me kaisi shrm
[02/11/24, 11:44:25] Aman: Tum 😙
[02/11/24, 11:44:42] O2: 🤨
[02/11/24, 11:44:49] Aman: Hehe😂😂
[02/11/24, 11:44:53] Aman: Haha😂😂
[02/11/24, 11:44:56] O2: Bye
[02/11/24, 11:44:58] O2: 😑
[02/11/24, 11:45:03] Aman: Arre
[02/11/24, 11:45:04] O2: Camera off
[02/11/24, 11:45:07] Aman: Majak tha
[02/11/24, 11:45:12] Aman: Camera toh on karlo
[02/11/24, 11:45:25] Aman: Hello
[02/11/24, 11:45:27] Aman: Baby
[02/11/24, 11:45:28] Aman: Sona
[02/11/24, 11:45:30] Aman: Sh
[02/11/24, 11:45:32] Aman: Babu
[02/11/24, 11:45:35] Aman: Darling
[02/11/24, 11:45:40] Aman: Puchi poo
[02/11/24, 11:45:44] Aman: Guchi poo
[02/11/24, 11:45:50] Aman: Sona sooo
[02/11/24, 11:46:00] Aman: Kaju ku
[02/11/24, 11:46:13] O2: Ayee
[02/11/24, 11:46:18] O2: Ye kaju ku kya h
[02/11/24, 11:46:28] O2: Naam mat bigado mera😑
[02/11/24, 11:46:36] Aman: Axa theek h
[02/11/24, 11:46:53] Aman: Aur batao
[02/11/24, 11:46:59] Aman: Kuch 😙
[02/11/24, 11:47:11] O2: Tum btao
[02/11/24, 11:47:22] Aman: Game khele?
[02/11/24, 11:47:29] O2: Thik h
[02/11/24, 11:47:43] Aman: Chess?
[02/11/24, 11:47:51] O2: 😑
[02/11/24, 11:47:58] Aman: Kya?
[02/11/24, 11:48:01] O2: Raat me khelenge na vo
[02/11/24, 11:48:12] Aman: 😑
[02/11/24, 11:48:14] O2: Shaam ko i mean
[02/11/24, 11:48:24] Aman: Then tum koi batao
[02/11/24, 11:48:31] O2: 😑
[02/11/24, 11:49:23] Aman: Axa guess the emoji that I used the most?
[02/11/24, 11:49:37] O2: Ummm
[02/11/24, 11:49:56] O2: 😂
[02/11/24, 11:50:02] Aman: Ok
[02/11/24, 11:50:07] Aman: Tumhara batau?
[02/11/24, 11:50:11] O2: Hm
[02/11/24, 11:50:13] Aman: 😑
[02/11/24, 11:50:21] O2: 😂
[02/11/24, 11:50:23] O2: Hm
[02/11/24, 11:50:40] O2: Iska mtlb smjh rhe ho
[02/11/24, 11:50:47] Aman: Hmm😂😂
[02/11/24, 11:50:56] O2: 🙄
[02/11/24, 11:50:56] Aman: Combo of both tells a lot😂
[02/11/24, 11:51:41] Aman: Kidhar gyi?
[02/11/24, 11:52:32] O2: Yhi hi
[02/11/24, 11:52:39] O2: Aur koi game btao
[02/11/24, 11:52:52] Aman: Ok
[02/11/24, 11:53:49] Aman: Tell me one of your dark fantasy
[02/11/24, 11:55:55] O2: Dark fantasy like what
[02/11/24, 11:56:04] Aman: Hanki panki
[02/11/24, 11:56:05] O2: Apni btao tum phle
[02/11/24, 11:56:18] Aman: Umm
[02/11/24, 11:56:28] O2: Ye dark fantasy h?
[02/11/24, 11:56:47] Aman: In terms of that
[02/11/24, 11:56:57] O2: Okay
[02/11/24, 11:57:04] O2: .
[02/11/24, 11:57:38] Aman: Wild sex
[02/11/24, 11:57:59] O2: 😶
[02/11/24, 11:58:08] Aman: U tell?
[02/11/24, 11:58:53] O2: Meri as such koi nhi h
[02/11/24, 11:59:02] O2: Mai sab me okay hu😂
[02/11/24, 11:59:07] Aman: AXA theek h
[02/11/24, 11:59:11] Aman: 😑
[02/11/24, 11:59:21] O2: 😂
[02/11/24, 12:00:01] Aman: Aur batao tum kuch
[02/11/24, 12:01:41] O2: Kya btau
[02/11/24, 12:02:01] Aman: Kuch nhi hota tumhare pass?😑
[02/11/24, 12:02:10] O2: Bta to diya
[02/11/24, 12:02:16] O2: Aur kya btau
[02/11/24, 12:02:17] Aman: Kya?
[02/11/24, 12:02:21] O2: Tum hi bta do
[02/11/24, 12:02:36] O2: Ki abhi tak kya kya kiya
[02/11/24, 12:02:44] Aman: 😂😂
[02/11/24, 12:02:55] Aman: Ok theek h
[02/11/24, 12:03:00] Aman: Lunch ho gya?
[02/11/24, 12:03:33] O2: Nhi
[02/11/24, 12:03:42] Aman: Ok
[02/11/24, 12:03:47] Aman: Kab tak jaogi phir?
[02/11/24, 12:04:03] O2: Jab koi bulayega
[02/11/24, 12:04:06] O2: 😗
[02/11/24, 12:04:07] Aman: Ok
[02/11/24, 12:04:12] Aman: Movie dekhne chalogi kya?
[02/11/24, 12:04:20] O2: Konsi
[02/11/24, 12:04:27] O2: Vaise the ans is no
[02/11/24, 12:04:34] O2: Still askin😚
[02/11/24, 12:04:37] Aman: Then kyu puch rhi
[02/11/24, 12:04:42] Aman: 😑
[02/11/24, 12:04:55] O2: Btao🤨
[02/11/24, 12:05:07] Aman: Nhi bataunga ab
[02/11/24, 12:05:18] O2: Bta rhe ya nhi
[02/11/24, 12:05:20] Aman: Smile 2
[02/11/24, 12:05:23] Aman: Ya bb3
[02/11/24, 12:05:26] Aman: Bata rha
[02/11/24, 12:05:31] Aman: Ruka toh karo
[02/11/24, 12:05:34] O2: Lgi h ky
[02/11/24, 12:05:40] Aman: Darane lagti ho
[02/11/24, 12:05:51] Aman: Smile 2 kanpur me nhi h sayad dekhta hu
[02/11/24, 12:06:26] O2: Koi na hum lucknow ja kar dekkenge na
[02/11/24, 12:06:29] O2: 🤗
[02/11/24, 12:07:08] Aman: Hmm maine bhi yhi socha tha
[02/11/24, 12:07:16] O2: Achha
[02/11/24, 12:07:17] Aman: But vahan par bhi nhi h sayad
[02/11/24, 12:07:28] O2: To cast krva lenge
[02/11/24, 12:07:36] Aman: Cast?
[02/11/24, 12:07:41] O2: Sharma g ki baat thodo na mna krega koi
[02/11/24, 12:07:55] O2: Lgva lenge theatres me
[02/11/24, 12:08:01] Aman: 😑
[02/11/24, 12:08:06] Aman: Tum na
[02/11/24, 12:08:09] O2: 😂
[02/11/24, 12:08:11] Aman: Hum log download karenge
[02/11/24, 12:08:18] Aman: Aur journey me dekhenge ab
[02/11/24, 12:08:35] O2: Ha to ye bolo na
[02/11/24, 12:08:43] Aman: No choice
[02/11/24, 12:08:52] Aman: Bcoz Pune se bhi hat gyi h
[02/11/24, 12:08:56] Aman: Mumbai me h bus
[02/11/24, 12:09:07] O2: Oo
[02/11/24, 12:09:33] Aman: Koi na
[02/11/24, 12:09:52] O2: Hm
[02/11/24, 12:10:00] O2: Aur btao ‎<This message was edited>
[02/11/24, 12:10:06] Aman: Hmm
[02/11/24, 12:10:24] O2: Achha ek question puchhti hu
[02/11/24, 12:10:29] Aman: Hmm
[02/11/24, 12:10:46] O2: What’s one thing which makes you insecure in our relationship rn
[02/11/24, 12:11:06] Aman: Nothing
[02/11/24, 12:11:19] O2: Ye ans nhi ho skta
[02/11/24, 12:11:21] O2: Invalid
[02/11/24, 12:11:24] Aman: Hai
[02/11/24, 12:11:45] O2: Thik h achha
[02/11/24, 12:11:51] Aman: Hmm u tell
[02/11/24, 12:12:02] O2: .
[02/11/24, 12:12:11] Aman: Not possible
[02/11/24, 12:12:23] Aman: U r only saying coz I said it that
[02/11/24, 12:12:29] Aman: But u have got something
[02/11/24, 12:12:32] Aman: Right?
[02/11/24, 12:13:35] O2: Mai terms nd conditions me yhi bolne vli thi ki question repeat nhi hoga aur nothing is an invalid ans pr tumne phle hi ans de diya
[02/11/24, 12:14:08] Aman: Then repeat vala factor nhi bol payegi na
[02/11/24, 12:14:14] Aman: Then say ur honest ans
[02/11/24, 12:15:48] O2: Kyunki mera ans hi yhi h
[02/11/24, 12:16:51] Aman: Axa
[02/11/24, 12:16:56] O2: Hm
[02/11/24, 12:18:16] Aman: Aur batao phir
[02/11/24, 12:20:18] O2: Chale fir?
[02/11/24, 12:20:27] Aman: AXA theek h
[02/11/24, 12:20:36] O2: Hm
[02/11/24, 12:20:54] O2: 👋 ✋
[02/11/24, 12:21:25] Aman: Ok
[02/11/24, 12:21:28] Aman: Bye
[02/11/24, 12:22:21] Aman: 👋🏻✋🏻👋🏻✋🏻
[02/11/24, 12:22:43] O2: 6
[02/11/24, 12:22:45] O2: 5
[02/11/24, 12:22:48] O2: 4
[02/11/24, 12:22:52] O2: 3
[02/11/24, 12:22:56] O2: 2
[02/11/24, 12:23:01] O2: 1
[02/11/24, 12:23:07] O2: 😠
[02/11/24, 12:23:12] O2: 😤
[02/11/24, 12:23:14] O2: Bye
[02/11/24, 12:23:20] Aman: 1 min bus
[02/11/24, 12:23:44] Aman: Hmm suno !
[02/11/24, 12:23:47] Aman: 😂😂
[02/11/24, 19:53:41] O2: 👋
[02/11/24, 19:57:44] Aman: Thodi der me Karu?
[02/11/24, 20:00:54] O2: Thik h
[02/11/24, 20:18:07] Aman: Hello listen !
[02/11/24, 20:21:21] O2: Hmm
[02/11/24, 20:21:37] Aman: Hi !
[02/11/24, 20:21:44] O2: Hye
[02/11/24, 20:21:55] Aman: Heyyy !
[02/11/24, 20:22:09] O2: Ha
[02/11/24, 20:22:27] Aman: Kya ho rha h ?
[02/11/24, 20:22:36] O2: Kaam kar rhi
[02/11/24, 20:22:41] Aman: Kya?
[02/11/24, 20:22:48] O2: Dckt
[02/11/24, 20:23:02] Aman: Ok
[02/11/24, 20:23:13] Aman: Chalo theek h raat me baat karte h !
[02/11/24, 20:23:26] O2: Thik h
[02/11/24, 20:23:57] Aman: Bye
[02/11/24, 20:24:01] Aman: 👋🏻💕👋🏻
[02/11/24, 20:24:13] O2: Bye
[02/11/24, 22:43:44] O2: Good night
[02/11/24, 22:44:03] Aman: Kya hua?
[02/11/24, 22:44:47] O2: Tum free ho kya?
[02/11/24, 22:44:56] Aman: Hmm ofc
[02/11/24, 22:45:00] Aman: Kyu?
[02/11/24, 22:45:22] O2: Mujhe lga busy hoge isliye good night bola
[02/11/24, 22:45:29] Aman: Nhi toh
[02/11/24, 22:45:37] Aman: Kya hua?
[02/11/24, 22:45:39] O2: Achha
[02/11/24, 22:45:48] O2: Kuchh ni
[02/11/24, 22:45:56] Aman: You sure?
[02/11/24, 22:46:11] O2: Hm
[02/11/24, 22:46:22] Aman: Then itna weird act kyu kar rhi ho?
[02/11/24, 22:46:42] O2: Mai… weird?
[02/11/24, 22:46:46] O2: Nhi to
[02/11/24, 22:46:50] Aman: .
[02/11/24, 22:47:04] Aman: Justify it?
[02/11/24, 22:47:31] O2: Vo to mujhe sach me lga time nhi hoga tumhare paas
[02/11/24, 22:48:18] Aman: Aur aisa kyu ?
[02/11/24, 22:49:51] O2: Achhe se bye bhi nhi bola tha dopahar me may be cuz of shortage of time aur fir shaam ko bhi aise hi kiya
[02/11/24, 22:50:48] Aman: I told u to wait
[02/11/24, 22:50:55] Aman: Afternoon me
[02/11/24, 22:51:08] O2: Bye bolne k baad☺️
[02/11/24, 22:51:36] Aman: Hmm
[02/11/24, 22:51:49] Aman: Bye ke baad hi I say those words
[02/11/24, 22:52:25] O2: Tumhare bye k bohot der baad tak ruki thi mai
[02/11/24, 22:52:39] O2: Infact countdown bhi diya tha
[02/11/24, 22:52:47] Aman: C'mon yr
[02/11/24, 22:52:53] Aman: That wasn't even a min
[02/11/24, 22:52:55] Aman: Koi aa gya tha
[02/11/24, 22:53:04] Aman: That's why I told u to wait for a min
[02/11/24, 22:53:10] Aman: Par tumse vo bhi nhi hua
[02/11/24, 22:53:48] O2: Tumhara 1 min ka mssg kab seen kiya tha maine?
[02/11/24, 22:54:27] Aman: Tum offline ho gyi after that
[02/11/24, 22:54:50] Aman: After 5 min
[02/11/24, 22:55:10] O2: Kyunki ja chuki thi mai
[02/11/24, 22:55:29] Aman: Even the timestamp was same
[02/11/24, 22:55:37] Aman: Tumhare last message ka
[02/11/24, 22:55:41] Aman: Aur mere reply ka
[02/11/24, 22:56:23] O2: Mere messages seen ho rhe the bs tum reply nhi kar rhe the
[02/11/24, 22:56:33] Aman: Kyuki phone pocket me tha
[02/11/24, 22:56:40] O2: On
[02/11/24, 22:56:45] O2: ?
[02/11/24, 22:56:48] Aman: Hmm
[02/11/24, 22:56:58] O2: 🙂
[02/11/24, 22:57:17] Aman: Isme
[02/11/24, 22:57:23] Aman: Aur isme
[02/11/24, 22:57:30] Aman: Just 1 min ka difference h
[02/11/24, 22:57:51] O2: Chats delete kar di h maine
‎[02/11/24, 22:58:08] Aman: ‎image omitted
[02/11/24, 22:59:00] O2: 20 k baad sidha 23 me reply kiya tumne
[02/11/24, 22:59:19] Aman: Kya?
[02/11/24, 22:59:58] O2: Kuchh nhi
[02/11/24, 23:00:03] O2: Chhodo
[02/11/24, 23:00:12] Aman: Bolo?
[02/11/24, 23:00:21] O2: Nhi kuchh ni
[02/11/24, 23:00:28] Aman: Bolo kajal!
[02/11/24, 23:00:55] O2: Time kam h kaam ki baat kar lete h phle
[02/11/24, 23:01:03] O2: Fir ldenge
[02/11/24, 23:01:22] O2: Ha to tickets dekhi?
[02/11/24, 23:01:34] Aman: Bus ki dekhi thi
[02/11/24, 23:01:40] Aman: Train ka open nhi hua tha
[02/11/24, 23:01:53] O2: Hm
[02/11/24, 23:02:04] Aman: Tumne?
[02/11/24, 23:02:18] O2: Dekhi thi maine bhi
[02/11/24, 23:02:52] O2: Yha se pune vli trains me WL  about 20 h min
[02/11/24, 23:03:06] O2: Aur Mumbai vli me 5-6
[02/11/24, 23:03:14] O2: AC 2 me
[02/11/24, 23:03:16] Aman: Kah ki?
[02/11/24, 23:03:25] Aman: Kab *
[02/11/24, 23:03:35] O2: 6,7
[02/11/24, 23:03:46] Aman: Ok
[02/11/24, 23:04:02] O2: Price 2300
[02/11/24, 23:04:16] Aman: Doesn't matter
[02/11/24, 23:04:27] Aman: Ok
[02/11/24, 23:04:53] O2: Bus me bhi 2800 tak pdega na
[02/11/24, 23:05:01] Aman: Hmm
[02/11/24, 23:05:25] Aman: Isme bhi 2800 man lo... Bcoz Mumbai to Pune Bhi hogaa
[02/11/24, 23:05:35] O2: Hm
[02/11/24, 23:05:59] O2: To kya krna h
[02/11/24, 23:06:17] Aman: Jo tumhe shi Lage kardo
[02/11/24, 23:06:32] O2: Tum btao
[02/11/24, 23:07:10] Aman: Timings vakhera check karni padegi train ki
[02/11/24, 23:07:30] O2: Aur WL clear nhi hui to
[02/11/24, 23:07:36] Aman: Toh bus
[02/11/24, 23:08:02] O2: Amount kitna deduct hoga
[02/11/24, 23:08:15] Aman: ‎You deleted this message.
[02/11/24, 23:08:27] Aman: Not clear hone par?
[02/11/24, 23:08:37] O2: Hm
[02/11/24, 23:08:43] Aman: 20-30 just booking charges
[02/11/24, 23:08:57] O2: Achha
[02/11/24, 23:09:05] Aman: Hmm
[02/11/24, 23:09:16] O2: .
[02/11/24, 23:09:45] Aman: Iski timing kya h?
[02/11/24, 23:10:24] O2: Ek nhi h
[02/11/24, 23:10:36] O2: 3-4 trains h
[02/11/24, 23:10:51] O2: Irctc mere me bhi open nhi hua
[02/11/24, 23:10:58] Aman: Tumhare Ghar vale rukne denge
[02/11/24, 23:11:04] Aman: ?
[02/11/24, 23:11:07] O2: Nhi
[02/11/24, 23:11:35] Aman: Like 5-6 hrs bhi nhi?
[02/11/24, 23:12:12] O2: Reason kya dungi unhe
[02/11/24, 23:12:33] O2: Valid reason hoga to mna thodi krenge
[02/11/24, 23:12:54] Aman: Ofc tum edge to edge booking nhi kar sakte
[02/11/24, 23:12:59] Aman: Kyuki trains late hoti h
[02/11/24, 23:13:09] Aman: Toh keh dena next one is 5 hrs apart
[02/11/24, 23:13:35] O2: To itna to train actual me late hoti h
[02/11/24, 23:13:48] O2: Fir to gap rhega hi nhi
[02/11/24, 23:13:56] Aman: Hmm agar Hui toh keh dena
[02/11/24, 23:14:06] Aman: Previous Vali choot gyi h
[02/11/24, 23:14:15] Aman: Aur jo next bus h is 4 hrs apart
[02/11/24, 23:14:23] O2: Bus?
[02/11/24, 23:14:34] Aman: Hmm bus se hi soch rha
[02/11/24, 23:14:46] O2: Mumbai to pune bus?
[02/11/24, 23:14:53] Aman: Hmm
[02/11/24, 23:15:17] O2: Fir vo khenge train se hi chle jao
[02/11/24, 23:15:26] Aman: Luggage g
[02/11/24, 23:15:27] Aman: H
[02/11/24, 23:15:30] Aman: Dikkat hogi
[02/11/24, 23:15:36] Aman: Train Khali nhi jati h
[02/11/24, 23:16:20] O2: Are nhi maanenge
[02/11/24, 23:16:38] O2: Bus se hi chal dete h fir
[02/11/24, 23:16:42] Aman: Kyu?
[02/11/24, 23:17:11] O2: Itna explaination dungi to shaq ho jayega
[02/11/24, 23:17:51] Aman: Dekh lo
[02/11/24, 23:17:54] Aman: Tum
[02/11/24, 23:20:11] O2: Thik h
[02/11/24, 23:20:18] Aman: Hmm
[02/11/24, 23:21:00] O2: Aur btao
[02/11/24, 23:21:40] Aman: Tanisha mam se tumne baat Kari thi ?
[02/11/24, 23:24:05] O2: Ha
[02/11/24, 23:24:12] O2: Abhi kiya just
[02/11/24, 23:24:30] Aman: Axa
[02/11/24, 23:24:33] Aman: What she said?
[02/11/24, 23:24:47] O2: Dekha nhi h
[02/11/24, 23:25:04] Aman: Um mai hi soch rha tha baat karne ko
[02/11/24, 23:25:21] O2: To kar lo
[02/11/24, 23:25:46] Aman: Tumne message drop kar diya n par?
[02/11/24, 23:26:03] O2: Hm
[02/11/24, 23:26:16] Aman: Chalo axa delete for everyone kardo
[02/11/24, 23:26:21] Aman: I'll handle
[02/11/24, 23:26:37] O2: Kyu
[02/11/24, 23:27:08] Aman: Mujhe lag rha mujhko hi bolna chahiye better rehga
[02/11/24, 23:27:20] O2: Thik h achha
[02/11/24, 23:27:23] Aman: Hmm
[02/11/24, 23:28:08] O2: NDA ball ka invitation aya h
[02/11/24, 23:28:13] Aman: Ok
[02/11/24, 23:28:20] Aman: Nice
[02/11/24, 23:28:27] O2: Hm
[02/11/24, 23:28:36] Aman: Kab h ?
[02/11/24, 23:28:44] O2: 16 nov
[02/11/24, 23:28:53] Aman: Toh ja rhi?
[02/11/24, 23:29:11] O2: Dekhungi
[02/11/24, 23:29:19] Aman: Ok
[02/11/24, 23:30:59] Aman: Shaam ko kab ?
[02/11/24, 23:31:25] O2: Tumne kaha tha thodi der me kru?
[02/11/24, 23:31:43] Aman: So that was rude ?
[02/11/24, 23:31:45] O2: Fir thodi der aya tumhara usme bye bolkar chle gye
[02/11/24, 23:31:59] O2: Phle hi bol dete isse achha
[02/11/24, 23:32:24] Aman: Tum kya bol rhi ho
[02/11/24, 23:32:32] Aman: ?
‎[02/11/24, 23:32:45] Aman: ‎image omitted
[02/11/24, 23:33:10] Aman: Tumne kaha tha u r doing kaam isliye I said it
‎[02/11/24, 23:33:18] O2: ‎image omitted
[02/11/24, 23:33:37] Aman: Iske baad what?
[02/11/24, 23:33:57] O2: Vo by mistake likh diya
[02/11/24, 23:34:34] O2: Ye first time to tha nhi jab mai kaam kar rhi thi aur tumme message kar diya
[02/11/24, 23:34:57] O2: Aisa bohot baar hua h nd we have continued ‎<This message was edited>
[02/11/24, 23:35:22] Aman: Toh kya bolta drop ur work aur mujhse abhi baat karo ?
[02/11/24, 23:35:32] Aman: Jab ki mere paas baad me bhi time h
[02/11/24, 23:36:17] O2: Mai kaam tab bhi kar rhi thi jab msine message kiya tha tumhe
[02/11/24, 23:36:30] Aman: Exactly
[02/11/24, 23:36:43] Aman: Agar tumhe baat continue karni hoti
[02/11/24, 23:37:09] Aman: Tum aise reply nhi karti ... To my words kya kar rhi ho
[02/11/24, 23:37:14] O2: I am talking about the first message
[02/11/24, 23:37:39] O2: Are to kya btati
[02/11/24, 23:37:41] Aman: Tumne bola tha "kaam "
[02/11/24, 23:37:51] O2: Jo kar rhi vhi btaungi na
[02/11/24, 23:38:10] Aman: Toh tum chahati ho next time se mai yeh bola Karu?
[02/11/24, 23:38:52] O2: Nhi kuchh mat bola kro
[02/11/24, 23:38:54] Aman: Maine bus yhi bola tha ok do your work we'll talk at night !
[02/11/24, 23:39:20] O2: Tumne bola tha thik h shaam ko krte h
[02/11/24, 23:39:29] O2: I thought you are still busy
[02/11/24, 23:40:07] O2: If you would have said that i would have stopped you
[02/11/24, 23:41:15] Aman: You mean raat right
[02/11/24, 23:41:27] O2: Hm
[02/11/24, 23:41:30] Aman: See
[02/11/24, 23:43:34] Aman: If I'm initialising the convo

And samne se response aata hai , "I'm doing some work "


And in response to that agar mai bolta hu , ok do it we'll talk later 


It means I feel ki tum abhi kaam kar rhi ...why to disturb you ...we could talk at night
[02/11/24, 23:43:46] Aman: How it shows I'm being busy ?
[02/11/24, 23:44:30] O2: “ do it” makes the whole difference
[02/11/24, 23:45:33] Aman: It's just a same thing 

"I'm doing work "
Ok we'll continue at night then
[02/11/24, 23:45:56] O2: You just said “ we’ll talk at night” instead of “ok do it,  we’ll talk at night”
[02/11/24, 23:46:17] O2: “Then”
[02/11/24, 23:46:24] Aman: Means the same thing
[02/11/24, 23:46:42] O2: Really
[02/11/24, 23:47:30] Aman: The reason why I said ok we'll talk at night 

Was only 
I want u to complete your work and continue the convo afterwards


Varna kyu bolunga?
[02/11/24, 23:47:46] Aman: Raat ko baat karne ko ...when I was the one who initialised it? ‎<This message was edited>
[02/11/24, 23:48:36] O2: This convo shows you just continued with  few questions just because you promised to return back but in real tou are busy
[02/11/24, 23:48:54] Aman: C'mon yr kajal
[02/11/24, 23:49:02] Aman: Don't just say anything
[02/11/24, 23:49:08] Aman: To win this fight
[02/11/24, 23:49:12] Aman: Literally anything
[02/11/24, 23:49:25] O2: While this one shows you ended up cuz i am busy rn
[02/11/24, 23:49:55] O2: I am saying anything
[02/11/24, 23:49:59] O2: Thik h
[02/11/24, 23:50:29] Aman: It's just a same thing
[02/11/24, 23:50:43] O2: Ya right
[02/11/24, 23:51:29] Aman: Kya hua batao acha?
[02/11/24, 23:51:40] O2: Kuchh nhi
[02/11/24, 23:51:59] Aman: I'm ready to listen you
[02/11/24, 23:52:03] Aman: Atleast say
[02/11/24, 23:52:20] O2: Nhi kuchh nhi
[02/11/24, 23:52:34] Aman: Mai bolu?
[02/11/24, 23:52:45] O2: Ha bilkul
[02/11/24, 23:55:38] Aman: Yr tumhe hurt nhi karna chahta tha


Mai bus itna chahata tha ki tum mujh par barosha karo ki agar tum kaam kar rhi ho aur mai bolta hu ki ...theek h baad me baat karte h


It is for I want you to finish up your and not to distrub in between...yeh nhi ki mera baat karne ka Maan nhi tha...Aisa kabhi nhi ho sakta....

Bus hamesha baat karne se lalach se bahut jyada greedy and selfish nhi hona chahata
[02/11/24, 23:55:57] Aman: Thoda practical bhi hona padta h
[02/11/24, 23:56:24] O2: Hm thik h
[02/11/24, 23:56:41] Aman: And after all that immense wait
[02/11/24, 23:57:06] Aman: This is what I get?
[02/11/24, 23:57:16] Aman: Kheir this was nothing
[02/11/24, 23:57:35] Aman: Worst part is u don't understand me !
[02/11/24, 23:57:57] O2: Sorry my mistake
[02/11/24, 23:58:07] O2: Maan to gyi mai
[02/11/24, 23:58:20] Aman: Kajal
[02/11/24, 23:58:36] Aman: I know this is sarcastic
[02/11/24, 23:58:42] O2: Hm
[02/11/24, 23:58:57] O2: Nhi
[02/11/24, 23:59:09] Aman: You are still upset !
[02/11/24, 23:59:12] O2: I am actually sorry
[03/11/24, 00:00:30] Aman: I don't want u to be sorry
[03/11/24, 00:00:33] Aman: It just
[03/11/24, 00:00:54] Aman: Mai chahta hu yr thoda sa toh barosha Kiya Karo mujh par
[03/11/24, 00:01:11] O2: .
[03/11/24, 00:02:37] Aman: Yr pyaar karta hu tumse toh tumhara bhala bhi toh sochunga na...

I never wanted our love to be the weakness of anyone
[03/11/24, 00:02:52] Aman: Isliye bola tha bus ki baad me baat karte h
[03/11/24, 00:03:05] O2: Hm thik h
[03/11/24, 00:04:17] Aman: Tumhe kuch kehna h?
[03/11/24, 00:04:28] Aman: Ya dil me hi rakhna h ?
[03/11/24, 00:04:56] O2: Nhi kuchh nhi khna
[03/11/24, 00:05:10] Aman: Matlab this one?
[03/11/24, 00:05:24] O2: Nhi
[03/11/24, 00:05:51] Aman: Naraz ho mujhse?
[03/11/24, 00:05:56] O2: Nhi
[03/11/24, 00:06:23] Aman: Kuch khelogi?
[03/11/24, 00:06:39] O2: Thik h
[03/11/24, 00:06:45] Aman: Chess?
[03/11/24, 00:06:54] O2: Thik h
[03/11/24, 00:06:59] Aman: Ok
[03/11/24, 00:07:08] Aman: Sending you the link
[03/11/24, 00:09:53] Aman: 2 min huh !
[03/11/24, 00:10:10] O2: Hm
[03/11/24, 00:13:49] Aman: Download nhi ho rha
[03/11/24, 00:13:51] Aman: Dekh rha
[03/11/24, 00:14:01] Aman: Tab Tak tum kuch sunao
[03/11/24, 00:15:38] O2: Assignments start kiye likhne?
[03/11/24, 00:15:50] Aman: Nhi
[03/11/24, 00:17:13] Aman: Tum link send karna AXA
[03/11/24, 00:18:38] O2: Chess downloaded nhi h
[03/11/24, 00:18:46] Aman: Ok
[03/11/24, 00:19:07] Aman: https://link.chess.com/play/rvN838
[03/11/24, 00:19:14] Aman: Click here
[03/11/24, 00:19:21] Aman: Yeh pakka chess ki hi link h
[03/11/24, 00:19:26] Aman: Kasam se😂
[03/11/24, 00:19:51] O2: Download krne k liye bol rha
[03/11/24, 00:20:02] O2: Net nhi h mere me
[03/11/24, 00:20:17] Aman: AXA
